id;Nazionalità;Nome
660;Argentine;Marcelo Bonevardi
661;French;Felix Bonfils
662;American;Dusti Bongé
664;Italian;Paolo Boni
665;French;Pierre Bonnard
666;American;William Bonnell
668;Brazilian;Maria Bonomi
669;American;Robert Bononno
670;American;Lee Bontecou
671;Italian;Fabio Bonzi
673;Australian;Peter Booth
674;Argentine;Osvaldo Borda
675;Italian;Enrico Bordoni
676;Canadian;Paul-Émile Borduas
677;British;Wendela Boreel
678;Spanish;Francisco Borès
682;American;Jonathan Borofsky
684;German;Arnold von Borsig
685;American;Elena Borstein
686;Hungarian;Sándor  Bortnyik
687;Swiss;Fritz Boscovits
688;British;Derek Boshier
689;Australian;Richard Bosman
690;American;Michael P. Bosniak
691;Swiss;Rodolphe-Théophile Bosshard
692;American;Check  Boterf
693;Colombian;Fernando Botero
694;American;Dorr Bothwell
696;Swiss;Mario Botta
697;American;Kenneth J. Botto
698;French;Édouard Boubat
699;American;René Robert Bouché
700;French;Jean Boucher
701;American;Alice Boughton
702;French;Bouillon
703;French;Firmin Bouisset
704;Dutch;Bart Boumans
705;Dutch;Christine Boumeester
706;French;Louis Bouquet
707;American;Harry Bouras
708;French;Émile-Antoine Bourdelle
709;French;Jouineau Bourduge
710;American;Louise Bourgeois
711;Irish;Fergus Bourke
712;American;Margaret Bourke-White
713;British;Samuel Bourne
714;Polish;J. Bouski
715;French;Jean-Louis Boussingault
716;French;Henri Boutet
717;French;Boutrou
718;American;Lynn Bowers
719;Guyanese;Frank Bowling
720;American;Stanley Boxer
721;American;Fiske Boyd
722;British;Fionnuala Boyd
723;Canadian;James Henderson Boyd
724;British;Mark Boyle
725;American;James Boynton
726;American;Paul Brach
727;Mexican;Angel Bracho
728;American;M. Leone Bracker
729;British;Su Braden
730;British;Martin Bradley
731;American;Paul Bradley
732;American;William Bradley
733;American;Dove Bradshaw
734;American;Mathew B. Brady 
736;American;Joe Brainard
737;American;Emile Branchard
738;French;Constantin Brancusi
739;German;Hans Brand
740;British;Bill Brandt
741;German;Marianne Brandt
742;American;Robert Brandwein
743;British;Frank Brangwyn
744;French;Georges Braque
745;French;Brassaï 
746;British;John Randall Bratby
747;Dutch;Pieter Brattinga
749;French;Adolphe Braun
750;French;Braun et Compagnie
751;Romanian;Victor Brauner
752;American;Troy Brauntuch
753;Chilean;Claudio Bravo
755;Yugoslav;Stipe Brcic
756;American;George Brecht
757;American;Charles H. Breed
758;American;Robert Breer
759;Swedish;Carl-Arne Breger
760;German;K. P. Brehmer
761;American;Raymond Breinin
762;American;Joseph Breitenbach
763;Swedish;Bjorn G. Breitholtz
764;German;Uwe Bremer
766;Uruguayan;Miguel Bresciano
767;French;Rodolphe Bresdin
768;French;André Breton
769;American;Marcel Breuer
771;American;William Brice
772;American;Charles D. Briddell
773;American;Marilyn Bridges
774;American;Barry Bridgwood
775;British;G. Stanislaus Brien
776;American;Judson Briggs
777;American;Anne W. Brigman
778;Swiss;Serge Brignoni
779;French;Denis Brihat
780;Spanish;Enrique Brinkmann
781;American;Horace Bristol
782;American;L. N. Britton
783;French;René Brô
784;American;John Brockman
785;German;Gottfried Brockmann
787;American;Gandy Brodie
788;American;Alexey Brodovitch
789;Russian;Alexander Brodsky
790;Swiss;Jürgen Brodwolf
791;American;Stephen Brody
792;American;Horace Brodzky
793;Danish;Stig Brøgger
794;American;Robert Broner
795;Belgian;Marcel Broodthaers
796;American;Alexander Brook
797;American;John Brook
798;American;James Brooks
799;American;Milton Brooks
800;American;Wendell Brooks
801;American;Harry Brorby
802;Spanish;Joan Brossa
803;American;Gary Stephen Brotmeyer
804;American;Arthur William Brown
805;American;Gustav A. Brown
806;American;James Brown
807;American;Joan Brown
808;American;Kathan Brown
809;American;Margaret DeM Brown
810;American;Ray Brown
811;American;Roger Brown
812;American;William Brown
814;American;Byron Browne
815;American;Colleen Browning
816;American;Robert Brownjohn
817;American;Kenneth Brozen
818;Chilean;Roser Llop Bru
819;Chilean;Salvador Bru
820;American;Jon O. Brubaker
